name,type,district
Chanasa,Local,Blantyre
Chididi Health for All Foundation,Local,Nsanje
Chifona Trust,Local,Thyolo
Child Help SBH,Local,Blantyre
ChildCare Organisation,Local,Machinga
Children With Potential Foundation,Local,Chitipa
Children of Hope Organisation,Local,Mulanje
Children of the Nations,Local,Lilongwe
Chimwemwe Mu’bereki Association,Local,Lilongwe
Chipembere Community Development Organisation,Local,Thyolo
Christian Aid Malawi,International,Lilongwe
Churches Action in Relief and Development,Local,Blantyre
Circle J Ministries International,International,Blantyre
Citizen Alliance,Local,Lilongwe
Clinton Health Access Initiative,International,Lilongwe
Co-operative Development Foundation of Canada,International,Lilongwe
Community Development Footprints,Local,Nkhatabay
Community Development Initiative,Local,Lilongwe
Community Energy Malawi,Local,Lilongwe
Community Impact,Local,Lilongwe
Community Initiative for Self Reliance,Local,Mangochi
Compact Resource Foundation International,International,Lilongwe
Compassion International,International,Lilongwe
Compassion Kind Foundation,Local,Salima
Computers for Enhanced Education,Local,Lilongwe
Concern Worldwide,International,Lilongwe
Consumers Association of Malawi,Local,Blantyre
Cornerstone Ministries,Local,Salima
Creative Youth Organization,Local,Nsanje
DARUL QURAN FOUNDATION,Local,Salima
Dawat E Islami,Local,Blantyre
Dawn Aid Limited,Local,Salima
Destiny of Humanity and Care for Refugees Organisation,Local,Lilongwe
Development Action for Marginalised Rural Areas,Local,Rumphi
Direct Aid International,Local,Lilongwe
Direct Connections to Africa,Local,Mangochi
Drug Fight Malawi,Local,Lilongwe
Dusty Orange Projects Et Al (Unlocking potential through creativity & innovation),Local,Lilongwe
"EWS Foundation (Environmental, Water, Sanitation Foundation)",Local,Ntchisi
Education Expertise Development Foundation,Local,Blantyre
Ekwendeni Women DAWA Organisation,Local,Mzimba
Emerge Livelihoods,Local,Mzuzu
Emerging Public Leaders of Malawi,International,Lilongwe
Emmanuel International,Local,Zomba
Entrepreneurs Community Solutions and Innovative Development,Local,Nkhotakota
Evangelical Lutheran Development Service,Local,Lilongwe
Evidence Action,International,Lilongwe
Extending Hope Organization,Local,Blantyre
FLORESTA,Local,Nkhatabay
Formidable Joy,International,Mzimba
Friends for the Elderly,Local,Ntchisi
Family Health International (FHI 360),International,Lilongwe
Family Health Services,Local,Lilongwe
Family Planning Association of Malawi,Local,Lilongwe
"Feed the Children, Inc",International,Lilongwe
Floja Foundation,Local,Karonga
Forum for Peace and Justice,Local,Mangochi
Forum for Youth Development,Local,Machinga
Foundation for Children’s Rights,Local,Mzuzu
Foundation for Community Livelihood and Development,Local,Blantyre
Fount For Nations,Local,Lilongwe
Fountain of Hope(FOHOP),Local,Blantyre
Freshwater Project,Local,Zomba
Friends of Aids Support Trust,Local,Nsanje
Friends of Mulanje Orphans,International,Mulanje
Future Planning for the Child,Local,Karonga
Future4All,Local,Ntcheu
GEWO Foundation (GARDEN OF EDEN WOMEN),Local,Ntcheu
Gift of the Givers Foundation,International,Blantyre
Girls Evolve,Local,Rumphi
Global Health Corps,International,Lilongwe
God Cares Rights Foundation,Local,Mzuzu
Good News For Schools,Local,Blantyre
Good People International,International,Blantyre
Good Results for All,Local,Ntchisi
Gospel in Action Ministries,Local,Dowa
Grace Ministries,Local,Lilongwe
Green Girls Platform,Local,Lilongwe
Gulugufe,Local,Chikhwawa
HOPE FOR A HOPLESS CHILD,Local,Chitipa
HWPL-ZA PEACE ACADEMY,International,Lilongwe
Habitat for Humanity Malawi,Local,Lilongwe
Hands at Work in Africa,International,Dedza
Hands of Hope,Local,Chikhwawa
Health Through Walls Malawi,Local,Blantyre
Health in Motion,Local,Nkhatabay
Healthwise,Local,Lilongwe
Heart to Heart Foundation,International,Zomba
Heifer  Project International,International,Lilongwe
Her for Tech,Local,Blantyre
Hope International Malawi,International,Lilongwe
Hope of Glory International Ministries,Local,Nkhotakota
Human Development Services,Local,Blantyre
Hygiene Village Project,Local,Blantyre
IM Swedish Development Partner,International,Lilongwe
INNITIATIVE FOR DEVELOPMENT EFFECTIVENESS AND ACCOUNTABILITY,Local,Lilongwe
INNOVATION : AFRICA,International,Zomba
INTEGRATED CENTER FOR WOMEN AND YOUTH EMPOWERMENT,Local,Lilongwe
INTERNATIONAL TRAINING AND EDUCATION CENTER FOR HEALTH,International,Lilongwe
ISRAAID-MALAWI,Local,Blantyre
Imagine Afrika,Local,Blantyre
Imaging the World Africa,International,Blantyre
Institute for Partcipatory Engagement and Quality Improvement,Local,Zomba
International Foundation for Electoral Systems,International,Lilongwe
International Fund for Animal Welfare Limited,Local,Blantyre
Inua Advocacy,Local,Lilongwe
Islamic Zakaat Fund,Local,Blantyre
Islamic relief-Malawi,International,Blantyre
Joyful Kids Organisation,Local,Lilongwe
Jacaranda Foundation,Local,Blantyre
Joint Village Development Initiative,Local,Zomba
KARA OLMURANI,Local,Lilongwe
Kachere Progressive Women’s Group,Local,Blantyre
Kawjo Foundation,Local,Lilongwe
Kids World Outreach Society,Local,Blantyre
Kingdom Workers,International,Blantyre
Kondanani Children’s Village,Local,Blantyre
Kukula Limited,Local,Karonga
Kunyumba Trust,Local,Salima
Kuphunzitsa Village Trust,Local,Zomba
LEAD HER,Local,Chiradzulu
LIU LA MUNTHU,Local,Blantyre
LUSUBILO COMMUNITY CARE,Local,Karonga
Labour Rights Organisation,Local,Blantyre
Ladder for Rural Development,Local,Ntchisi
Life Child International Trust,International,Blantyre
Life Coaching Ministry,Local,Lilongwe
Life Concern Organisation,Local,Rumphi
Lighthouse Trust,Local,Lilongwe
Lilongwe Society for the protection and Care of Animals,Local,Lilongwe
Lilongwe Urban Women’s  Forum,Local,Lilongwe
Limodzi Foundation,Local,Mwanza
Link Community Development,Local,Lilongwe
Link for Education Governance,Local,Lilongwe
Little Seeds Foundation,Local,Lilongwe
Livn global,International,Lilongwe
Love Driven Ministries,Local,Salima
Lydia Action,Local,Lilongwe
MOYO NGWATHU,Local,Lilongwe
MTENDERE ORPHAN CARE LIMITED,Local,Lilongwe
MTISUNGE AIDS  and  COMMUNITY DEVELOPMENT SUPPORT ORGANIZATION,Local,Nkhatabay
Maeve Project,Local,Lilongwe
Mai Aisha Trust,Local,Blantyre
Malawi Alcohol Policy Alliance,Local,Lilongwe
Malawi Children’s Village,Local,Mangochi
Malawi Relief Fund – UK,International,Blantyre
Malawi Scotland Partnership,Local,Lilongwe
Malawi Union of The Blind,Local,Blantyre
Malawi Volunteer Organisation,Local,Mangochi
Matunkha Development Trust,Local,Rumphi
McKallies Home of Future and Hope,Local,Blantyre
Meeting Hub,Local,Lilongwe
Mehboob Memorial Centre,Local,Mangochi
Melon Heart Foundation,Local,Zomba
Mercy Beyond Borders,International,Blantyre
Merry Year International,International,Lilongwe
Milo 5,Local,Lilongwe
Ministry of Hope,Local,Lilongwe
Mlambe Health and Social Trust,Local,Zomba
Mlango Associations,Local,Mulanje
Mobile Journalism Initiative,Local,Mzuzu
Mudzi Connect,Local,Lilongwe
Mustard Seed School of Ministry,Local,Lilongwe
Muthange Development Association,Local,Blantyre
Mwanza AID’S Support Organization,Local,Mwanza
NAMWILA TRANSFORMATION DEVELOPMENT CENTRE,Local,Chitipa
NGO Coalition on Child Rights,Local,Lilongwe
NJIRA IMPACT,Local,Nkhotakota
Namulenga Development Foundation,Local,Mulanje
"Nanze Children’s Services, INC",International,Dedza
National Association for Young People Living with HIV,Local,Lilongwe
National Democratic Institute for International Affairs,International,Lilongwe
National Youth Network on Climate Change (NYNCC),Local,Lilongwe
Native Youth Animators for Development,Local,Nsanje
Nayuchi Aids Network services,Local,Machinga
Needed Actions for Community Care & Development,Local,Mangochi
New Restoration Ministries International,Local,Lilongwe
Norwegian Church Aid,International,Lilongwe
Ntchisi Organisation for Youth and Development,Local,Ntchisi
Nyale Institute for Sexual and Reproductive Health Governance(Nyale Institute),Local,Blantyre
Nyumba Ya Tsogolo,Local,Machinga
One Acre Fund,International,Zomba
One World One Family Foundation,Local,Zomba
Operation SAVE,Local,Lilongwe
Opportunity International Malawi,International,Lilongwe
Orphan Ministries,Local,Salima
Othakarhaka Charity Foundation,Local,Mulanje
PARTNERS FOR SUSTAINABLE DEVELOPMENT,Local,Blantyre
PASTOR CHADZELA FOUNDATION,Local,Balaka
Pace Academy Foundation Inc,International,Lilongwe
Pakaya Initiative,Local,Mzimba
Pan African Civic Educators Network,Local,Thyolo
Participatory Ecological Land Use Management,Local,Blantyre
Partners In Harvest Africa,International,Nsanje
Pashello Charitable Trust Limited,Local,Chikhwawa
Pentecostal Holiness Association  Relief and Development Organization,Local,Chitipa
Phalombe Youth Arms Organization,Local,Phalombe
Positivo,Local,Zomba
QED Africa Foundation,Local,Lilongwe
REGISTERED TRUSTEES OF NATURALLY AFRICA,Local,Mangochi
ROAD SAFETY ALERT FOUNDATION,Local,Mzuzu
RUGBY FOR EDUCATION,Local,Lilongwe
RURAL MARKET DEVELOPMENT TRUST,Local,Lilongwe
Reaching People in Need,International,Machinga
Restored-Hope Foundation for Rural Development,Local,Phalombe
Ripple Africa,International,Nkhatabay
River of Life Organisation,Local,Phalombe
Road Safety Ambassadors,Local,Lilongwe
SEED SOWERS TRUST,International,Blantyre
SHARJAH CHARITY HOUSE,Local,Blantyre
SRHR Africa Trust,International,Lilongwe
Sababa Agriculture Foundation,Local,Mzuzu
Safe Space Allies Organization,Local,Lilongwe
Save Us,Local,Lilongwe
Sceptre Youth Skills Development Centre,Local,Salima
Schools and Colleges Permaculture,Local,Lilongwe
Seed Global Health Limited,International,Lilongwe
Seed of Hope Charity Organization,Local,Lilongwe
Segal Family Foundation,International,Lilongwe
Self Help Africa,International,Lilongwe
Shalom Care International Organization,Local,Salima
Shaping our future Foundation,Local,Lilongwe
Shine on Malawi,Local,Mzimba
Sightsavers International,International,Lilongwe
Social Cultural Association,International,Thyolo
Social Economic Enhancement and Enterprise Development,Local,Mangochi
St John Council Malawi,Local,Blantyre
Stand as One Ministry,Local,Lilongwe
StarFish,Local,Salima
Starlight Organisation,Local,Blantyre
Step Up,Local,Blantyre
Story Time,International,Zomba
Sue Ryder Foundation in Malawi,Local,Balaka
THE LIKULEZI PROJECT ORGANISATION,Local,Phalombe
THEMBI COMMUNITY INITIATIVE,Local,Chitipa
THRIVING COMMUNITY FOUNDATION,Local,Blantyre
TearDryers,Local,Blantyre
Tearfund,International,Lilongwe
Teen Missions International,International,Salima
The Children’s Fund,Local,Blantyre
The Hunger Project,International,Blantyre
The Initiative for Climate Action and Development,Local,Lilongwe
The Registered Trustees of Collaborative African Network for Childhood Cancer Care and Research,International,Blantyre
The Registered Trustees of Ethel nkosi Foundation,Local,Blantyre
The Registered Trustees of Spinal Injuries Association of Malawi,Local,Blantyre
Tikondane Positive Living Suport Organisation,Local,Zomba
Tilitonse Foundation,Local,Lilongwe
Timotheos Foundation,Local,Blantyre
Tingathe,Local,Lilongwe
Tiwasunge Community Support Organisation,Local,Chiradzulu
Tongole Foundation,Local,Lilongwe
Torch Trust For The Blind International,International,Blantyre
Trustees of Agricultural Promotion Programme,Local,Lilongwe
Trustees of Traditional Healers Research and Counselling Association,Local,Mzuzu
Tsogolo La Ana Organization,Local,Blantyre
UMOJA PEOPLE WITH DISABILITIES,Local,Dowa
Ubuntunet Alliance for Research and Education Networking,International,Lilongwe
Ujamaa Pamodzi Africa,International,Lilongwe
Ulalo,Local,Mzuzu
Umunthu Mu Umoyo,Local,Lilongwe
Umunthu Plus,Local,Nkhotakota
Urunji Child-Care Trust,Local,Lilongwe
VOLUNTARY AID SERVICES ORGANISATION,Local,Lilongwe
Victory Christian Children’s Home,Local,Thyolo
Village Schools,Local,Lilongwe
Village X,Local,Blantyre
Vision For Development,Local,Chiradzulu
Visual Hearing Impairment of Membership Association,Local,Blantyre
Voice Of Women With Disability,Local,Ntcheu
Voice of Nkhatabians,Local,Nkhatabay
Voices Awake Girls Organization,Local,Salima
WARMHEART MINISTRY,Local,Lilongwe
WAY Ministries,Local,Blantyre
Warm Hearts Foundation,International,Mangochi
Water Missions International,International,Lilongwe
We Effect,International,Lilongwe
WeForest Limited,Local,Mulanje
When the Saints,International,Dowa
Wildlife Action Group,Local,Salima
Wildlife and Natural Resources Conservation and Rehabilitation Trust,Local,Lilongwe
Winrock International,International,Lilongwe
Women Alliance Organization,Local,Phalombe
Women of Virtue International Christian Charity Organisation,Local,Blantyre
World Association Friends of Africa,Local,Zomba
World Relief International,International,Lilongwe
World Vision International Malawi,International,Lilongwe
World of Difference,International,Lilongwe
Yembekeza Foundation,Local,Lilongwe
Young Women Rise,Local,Chiradzulu
Youth Care ministries,Local,Lilongwe
Youth Empowerment and Support Initiative,Local,Salima
Youth Impact Malawi,Local,Machinga
Youth Initiative for Community Development,Local,Dedza
Youth Watch Society,Local,Mzuzu
Youth and Community Development Organisation,Local,Nkhotakota
boNGO – based on Need-driven Grassroots Ownership,Local,Blantyre
Footstepsafricamw,Local,Blantyre
2ND Milk Ministry Limited,Local,Lilongwe
AFRICA HELPING HAND,Local,Lilongwe
AFRICA PROJECT AGAINST SUICIDE,Local,Zomba
AIDS Healthcare Foundation,International,Lilongwe
ANAMAGELO CHARITY TRUST,Local,Mangochi
ASSOCIATION OF SOCIAL WORKERS.,Local,Lilongwe
AZITONA DEVELOPMENT SERVICES,Local,Balaka
Action Aid Malawi Ltd,Local,Lilongwe
Action Hope Malawi,Local,Zomba
Action for Environmental Sustanability,Local,Blantyre
Action for HealthCare Foundation,Local,Blantyre
Action for Sustainable Development,Local,Mzimba
Active Aid in Africa,Local,Nsanje
Advancing Girls’ Education in Africa,Local,Blantyre
Adventist development and Relief Agency,Local,Lilongwe
Africa Child Misssion,Local,Salima
Africa Innovate,Local,Lilongwe
Africa Windmill Project,International,Lilongwe
Africa Windmills Limited,Local,Lilongwe
African Fertilizer and Agribusiness Partnership,International,Lilongwe
African Network for Prevention and Protection Against Child Abuse and Neglect,Local,Blantyre
Africathletics,International,Zomba
Afrogarden,International,Phalombe
Agape Farm Ministry,Local,Salima
Agricultural Commodity Exchange for Africa  Trust,Local,Lilongwe
Al-Qasim,Local,Blantyre
Alliance for Children Everywhere,International,Lilongwe
Amref Health Africa – Malawi,International,Lilongwe
Andiamo Youth Cooperative Trust,Local,Balaka
Angaliba Foundation,Local,Machinga
Anglican Council in Malawi,Local,Lilongwe
Anti Human Trafficking and Victim Rehabilitation Bureau,Local,Lilongwe
Art and Global health centre Africa,Local,Zomba
Association of Early Childhood Development in Malawi,Local,Blantyre
Association of Malawian Midwives,Local,Lilongwe
BIODIVERSITY AND ENVIRONMENTAL RESTORATION TRUST,Local,Lilongwe
BROTHER2BROTHER,Local,Zomba
Badilika Foundation,Local,Blantyre
Baobab Health Trust,Local,Lilongwe
Baptist Development Services,Local,Lilongwe
Barakah Charity,Local,Blantyre
Bedir Education and Medical Foundation Trust,Local,Blantyre
Better Life Trust,Local,Zomba
Better World for Orphans and Widows,Local,Zomba
Beyond Our Hearts Foundation,Local,Neno
Beyond Suncare,International,Lilongwe
Biodiversity Conservation Initiative,Local,Mzuzu
Blantyre Institute for Commuinity Ophthalmology,Local,Blantyre
Blantyre Society for Protection and Care of Animals,Local,Blantyre
Build On,International,Kasungu
Butterfly Foundation for Peace,Local,Blantyre
CAMFED Malawi,International,Blantyre
CANNAN INTERNATIONAL OUTREACH MINISTRIES,International,Lilongwe
CARE  Malawi,International,Lilongwe
CBM Christoffel-Blinden Mission Christian Blind Mission e.V,International,Lilongwe
CENTRE FOR ACTIVE YOUTH IN DEVELOPMENT,Local,Phalombe
"CENTRE FOR DOWN SYNDROME, SICKLE CELL DISEASES AND AUTISM",Local,Lilongwe
CHARITY FOR FUTURE,Local,Mangochi
CHESTER THETE FOUNDATION,Local,Nsanje
CHILD AID MALAWI,Local,Lilongwe
CHIPUNGA CENTRE FOR YOUTH AND RURAL DEVELOPMENT,Local,Nkhatabay
CHITIPA DEVELOPMENT TRUST,Local,Chitipa
CIHEB INITIATIVE,Local,Lilongwe
Caring Hands Centre Limited,Local,Lilongwe
Caring for Persons with Disabilities,Local,Blantyre
Center for Education Promotion and Advancement of the Rights of Adolescent Mothers,Local,Zomba
Centre for Alternatives for Victimized Women and Children,Local,Blantyre
Centre for Child Development and Research,Local,Lilongwe
Centre for Civil Society Strengthening,Local,Lilongwe
Centre for Climate Change and Environment Management,Local,Blantyre
Centre for Community Change & Youth Development,Local,Machinga
Centre for Community Development and Empowerment Foundation,Local,Neno
Centre for Conflict Management and Women Development Affairs,Local,Chiradzulu
Centre for Democracy and Economic Development Initiatives,Local,Lilongwe
Centre for Development Communications,Local,Blantyre
Centre for Development of People,Local,Lilongwe
Centre for Environmental Policy and Advocacy,Local,Blantyre
Centre for Good Governance Human Rights and Education,Local,Zomba
Centre for Human Rights Education Advice and Assistance,Local,Blantyre
Centre for Human Rights and Rehabilitation,Local,Lilongwe
Centre for Integrated Rural Development,Local,Nkhotakota
Centre for International Programs,International,Lilongwe
Centre for Research and International Development,International,Zomba
Centre for Social Change,Local,Lilongwe
Centre for Solutions Journalism,Local,Chiradzulu
Centre for Sustainable Community Development,Local,Kasungu
"Centre for Sustainable Livelihoods, Wellness and Innovation",Local,Lilongwe
Centre for Visual Storytelling,Local,Lilongwe
Centre for Youth Empowerment and Civic Education,Local,Lilongwe
Child Focus Organisation,Local,Balaka
Child Legacy International,International,Lilongwe
Child and Youth Connect Foundation,Local,Chitipa
Children and Women Care Organization,Local,Lilongwe
Children of Southern Africa,Local,Lilongwe
Chinansi Foundation,Local,Balaka
Chitani Community Sustainable Development Organization,Local,Blantyre
Chitipa Restoration Project,Local,Chitipa
Chitukuko Foundation,Local,Salima
Christian Aid and Literature Africa,Local,Lilongwe
Christian Health Association in Malawi,Local,Lilongwe
Christian Youth Association of Malawi_CYAMA,Local,Lilongwe
Circle for Intergrated Community Development,Local,Lilongwe
Circle of Hope,Local,Dowa
Citizen Goal Guidance,Local,Lilongwe
Citizen Impact Foundation,Local,Lilongwe
Citizen Impact Organisation,Local,Mzuzu
Civil Society Agriculture Network,Local,Lilongwe
Civil Society Coalition on Social Accountability & Transparency,Local,Dowa
Civil Society Education Coalition,Local,Lilongwe
Civil Society Network on Climate Change,Local,Lilongwe
Civil Society Organisation Nutrition Alliance,Local,Lilongwe
Coalition of Women and Girls  Living with HIV/AIDS,Local,Lilongwe
Collective Action for Rural Development,Local,Lilongwe
Community Action Development Organisation,International,Blantyre
Community Action for Sustainable Development Organization,Local,Neno
Community Agribusiness Partners,Local,Lilongwe
Community Based Natural Resource Management Forum,Local,Kasungu
Community Behaviour Change Initiative ( CBCI),Local,Lilongwe
Community Holistic Approach To Pandemics Services,Local,Dedza
Community Hope Organisation,Local,Blantyre
Community Initiative for Social Empowernment,Local,Mchinji
Community of Saint Egidio,International,Blantyre
Community partnership for Relief and development,Local,Blantyre
Concerned Youth Organization,Local,Blantyre
"Cooper/Smith Trading as International Monitoring and Evaluation, LLC",International,Lilongwe
Cooperazione Internazionale,International,Lilongwe
Corporate Africa International Foundation,Local,Lilongwe
Covenant Centre for Development,Local,Blantyre
Creative Centre for Community Mobilisation,Local,Zomba
Cultivating New Frontiers in Agriculture,International,Lilongwe
D-Tree international,International,Lilongwe
DISABILITY EMPOWERMENT INITIATIVE,Local,Lilongwe
DOCTORS FOR LIFE INTERNATIONAL,Local,Machinga
DVV International,International,Lilongwe
Darussunah Foundation,Local,Salima
Davies Fundraising,Local,Nsanje
Democracy Works Foundation,International,Lilongwe
Design Outreach,International,Lilongwe
Developed Medical Imaging,Local,Blantyre
Development Aid People to People,Local,Blantyre
Development Concept,Local,Machinga
Development Fund of Norway,International,Lilongwe
Development Initiative Network,Local,Chikhwawa
Development Media International,International,Lilongwe
Development Resource for Empowerment & Action Mentorship,Local,Kasungu
Development communications Trust,Local,Blantyre
Direct Impact Foundation for Youth,Local,Lilongwe
Divine Mission Ministries,Local,Lilongwe
Do for Children,Local,Lilongwe
Dochas Education Trust Malawi,International,Nsanje
Domwe Active Youth Organization,Local,Blantyre
EAGLE RELIEF,Local,Blantyre
EDUNITE2SERVE,Local,Lilongwe
Eagles Relief and Development Programme International,Local,Blantyre
Early Childhood Development Coalition (Malawi),Local,Lilongwe
Edukans Mw,International,Lilongwe
Elizabeth Glaser Pediatric Aids Foundation,International,Lilongwe
Empower,International,Lilongwe
Epilepsy Warriors Foundation,Local,Blantyre
Episcopal Conference of Malawi,Local,Lilongwe
Eva Demaya Center,Local,Rumphi
Evangelical Association of Malawi,Local,Lilongwe
Ex – SOLDIERS CHARITY ORGANIZATION,Local,Lilongwe
Extra Mile Development Foundation,Local,Mzimba
Eye of the Child,Local,Lilongwe
FANET LIMITED,Local,Zomba
FARM CONCERN INTERNATIONAL,Local,Lilongwe
FARMERS VOICE AFRICA,Local,Lilongwe
FIGHT AIDS MALAWI,Local,Lilongwe
FOUNDATION FOR WOMEN AND GRILS EMPOWERNMENT,Local,Karonga
Fairtrade Africa,International,Blantyre
Family Development Services,Local,Blantyre
Farm Radio Trust,Local,Lilongwe
Farmers union of Malawi,Local,Lilongwe
Fatima Centre,Local,Chiradzulu
Federation of Disability Organisation in Malawi,Local,Blantyre
Federation of Women and Youth in Mining,Local,Lilongwe
Feed the Children-Malawi,Local,Blantyre
Feed the Sheep,Local,Lilongwe
Female Sex Workers Association,Local,Lilongwe
Fert Walima,Local,Mzimba
Finance Assistance Change Education,International,Neno
Find Your Feet,Local,Mzuzu
"Fishers, Trainers and Senders Missions",Local,Lilongwe
Fishersman’s Rest Community Projects,Local,Blantyre
Focus on Ability Society,Local,Blantyre
For Equality,Local,Lilongwe
For a Change,Local,Blantyre
Forum for Africa Women Educationalist in malawi,Local,Lilongwe
"Foundation for A Smoke-Free World, Inc DBA Agriculture Transfomation Initiative",International,Lilongwe
Foundation for Active Civic Education,Local,Nsanje
Foundation for Civic Education and Social Empowerment,Local,Blantyre
Foundation for Community Support Services,Local,Karonga
Foundation for Community Welfare,Local,Zomba
Foundation for Irrigation and Sustainable Development,Local,Lilongwe
Foundation of Girls Education and Health Network,Local,Lilongwe
Fountain of Hope,Local,Dowa
Freedom from Fistula Foundation,International,Lilongwe
Future Prospects,Local,Lilongwe
Future Vision Ministries-Canada,International,Zomba
GENESISI Manja Othandiza,Local,Blantyre
GLOBAL ALLIANCE OF NATIONS,Local,Chiradzulu
GUIDED AND ORIENTED APPROACH TO ATTAIN RESILIENCE,Local,Blantyre
Gender Support Programme,Local,Blantyre
Genero Justica Unidade Ltd,Local,Lilongwe
Girls Activist Youth Organisation,Local,Mchinji
Girls Empowerment Network,Local,Blantyre
Girls On The Lead Young Feminist Movement,Local,Kasungu
Give Directly Limited,International,Lilongwe
Global AIDS Interfaith Alliance Trust,Local,Blantyre
Global Communities,International,Lilongwe
Global Health Informatics Institute,Local,Lilongwe
Go Green Save Environment,Local,Nkhatabay
Goats for Girls,International,Lilongwe
Good Health Organisation,Local,Kasungu
Good Neighbours International,International,Lilongwe
Grace Farm and Childrens Home,Local,Mangochi
Grassroot Action and Support organization,Local,Dedza
Greater Hope Limited,Local,Lilongwe
HEEED Malawi,Local,Mangochi
Hands of Action,Local,Lilongwe
Hands of Hope Community Development Organization,Local,Ntchisi
Harmony For Families and Communities,Local,Zomba
Harvest Hope Home,Local,Nkhotakota
Healing -Child Initiative,Local,Zomba
Health for Everyone,Local,Lilongwe
Help a Child (Stichting Red een Kind ),International,Lilongwe
Hoho Action Plus,Local,Kasungu
Home Vision Support Project,Local,Nsanje
Hoodsmart Foundation,Local,Lilongwe
Hope House Orphan Care Foundation,International,Dowa
Hope Ministries International,Local,Lilongwe
Hope for People Empowerment Ministry (Hope Ministry),Local,Lilongwe
Hope plus,Local,Mzimba
Hope4Development,Local,Blantyre
Hopeview Resource Centre,Local,Mzimba
Human Rights Consultative Committee,Local,Lilongwe
Human Rights Defenders Coalition,Local,Lilongwe
IMAGINE WORLDWIDE LIMITED,Local,Lilongwe
IMPACT,Local,Lilongwe
INTERNATIONAL REPUBLICAN INSTITUTE,International,Lilongwe
IPAS MALAWI,Local,Lilongwe
Ifumbo Youth Organization,Local,Chitipa
Inclusion of the Excluded Preschool Children,Local,Lilongwe
Initiative for Community Development Services,Local,Blantyre
Institute for Policy Interaction,Local,Blantyre
Inter Aide,International,Lilongwe
International Centre for World Mission,International,Ntcheu
International Support & Partnership for Health / St Mary’s Hospital,International,Mzimba
Irish Rule of Law International,International,Lilongwe
Islamic Health Association of Malawi,Local,Blantyre
JHPIEGO,International,Lilongwe
"JSI Research and Training institute, INC",International,Lilongwe
JUSTICE IN SITU,Local,Lilongwe
Jallie Care Foundation,Local,Lilongwe
Jesuit Refugee Service,International,Lilongwe
John C. Thomas Children Foundation,Local,Lilongwe
Joshua Orphan and Community care,Local,Blantyre
Journalists Association Against AIDS,Local,Lilongwe
KENSINGTON LEADERSHIP INSTITUTE,Local,Lilongwe
KNCV Tuberculosis Foundation,International,Lilongwe
KUTI EXPERIENCE LIMITED,Local,Salima
Kachila Youth Initiative,Local,Karonga
Karonga Debate club,Local,Karonga
Kavuzi Camp Trust,Local,Mzuzu
